epoch,accuracy,num_predictions
0,52.66,3179
1,54.58,6141
2,52.26,13535
3,53.23,22816
4,53.93,28604
5,53.98,34354
6,54.35,38203
7,54.69,40640
8,55.33,40185
9,55.91,39509
10,57.34,36338
11,58.38,37005
12,58.56,39416
13,58.64,43587
14,59.69,43229
15,60.4,43773
16,60.66,45798
17,60.85,48021
18,60.94,50156
19,61.1,52330
20,61.74,52413
21,62.15,52274
22,62.58,52444
23,62.99,53071
24,63.6,52531
25,64.12,52539
26,64.55,52182
27,64.99,51225
28,64.65,53820
29,63.45,59380
30,64.43,56797
31,65.63,52934
32,66.59,49239
33,64.33,59748
34,63.96,61306
35,64.27,60168
36,64.64,59693
37,64.65,60765
38,64.86,60510
39,65.2,59674
40,65.28,59649
41,65.19,60475
42,65.32,60212
43,64.9,62379
44,64.4,64257
45,64.23,64956
46,64.24,65261
47,64.11,66665
48,63.81,68492
49,63.55,70280
